     1.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.409     0.067     0.115     0.142     0.037     0.037     0.021     0.045     0.044     0.010     0.038     0.033     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     1.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.001     0.000     0.270     0.000     0.654     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.066     2.000     4.000     8.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.049     0.002     0.003     0.000     0.000     0.000     0.000     0.000     0.879     0.021     0.047     0.000     4.000     1.000    13.000
     1.000     1.000     0.000  9999.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.585     0.000     0.147     0.000     0.000     0.000     0.000     0.000     0.152     0.000     0.115     2.000     2.000     6.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.799     0.005     0.022     0.000     0.073     0.003     0.004     0.000     0.087     0.001     0.007     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.004     0.000     0.032     0.000     0.940     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.024     2.000     4.000     8.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.010     0.000     0.024     0.000     0.000     0.000     0.000     0.000     0.117     0.000     0.850     4.000     4.000    16.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.839     0.026     0.081     0.000     0.014     0.003     0.003     0.000     0.026     0.001     0.008     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     0.000     1.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.186     0.030     0.052     0.065     0.059     0.058     0.033     0.070     0.157     0.037     0.134     0.118     0.000     0.000     0.000     0.000     3.000     1.000     9.000
     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     0.006     0.000     0.077     0.000     0.108     0.000     0.807     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.001     2.000     4.000     8.000
     1.000     0.000     0.000     1.000     1.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.001     0.000     0.000     0.000     0.257     0.255     0.146     0.308     0.000     0.000     0.000     0.000     0.007     0.005     0.004     0.017     2.000     4.000     8.000
     0.000     0.000     1.000     0.000     1.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.004     0.001     0.001     0.001     0.260     0.258     0.148     0.312     0.000     0.000     0.000     0.000     0.003     0.002     0.002     0.008     2.000     4.000     8.000
     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.003     0.000     0.000     0.000     0.858     0.030     0.048     0.000     0.000     0.000     0.000     0.000     0.057     0.001     0.003     0.000     2.000     1.000     5.000
     1.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.071     0.002     0.007     0.000     0.142     0.026     0.028     0.000     0.539     0.024     0.159     0.000     0.001     0.000     0.000     0.000     3.000     1.000     9.000
     0.000     0.000     0.000     1.000     1.000  9999.000     0.000     1.000     1.000     0.000     0.001     0.002     0.006     0.000     0.021     0.438     0.467     0.058     0.000     0.000     0.000     0.000     0.000     0.002     0.003     0.001     2.000     3.000     7.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.341     0.345     0.000     0.001     0.031     0.191     0.000     0.000     0.037     0.054     0.000     0.000     0.000     0.000     0.000     0.000     1.000     2.000     2.000
     0.000     0.000     1.000     1.000     1.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.000     0.000     0.000     0.000     0.224     0.222     0.127     0.268     0.000     0.000     0.000     0.000     0.034     0.023     0.019     0.083     2.000     4.000     8.000
     0.000     0.000     1.000     1.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.025     0.004     0.007     0.009     0.115     0.114     0.065     0.137     0.180     0.042     0.154     0.135     0.003     0.002     0.002     0.008     3.000     1.000     9.000
     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.001     0.000     0.029     0.000     0.854     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.115     2.000     4.000     8.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.001     0.072     0.000     0.001     0.000     0.000     0.000     0.000     0.009     0.863     0.000     0.054     4.000     2.000    14.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.031     0.023     0.118     0.000     0.047     0.008     0.272     0.000     0.096     0.049     0.355     0.001     4.000     3.000    15.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.007     0.727     0.000     0.141     0.000     0.075     0.000     0.008     0.000     0.032     0.000     0.009     0.000     0.000     0.000     0.000     1.000     2.000     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.040     0.008     0.008     0.000     0.000     0.000     0.000     0.000     0.719     0.090     0.135     0.000     4.000     1.000    13.000
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     0.424     0.162     0.140     0.002     0.039     0.090     0.026     0.001     0.046     0.025     0.046     0.001     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     0.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.514     0.084     0.145     0.179     0.009     0.009     0.005     0.010     0.016     0.004     0.014     0.012     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     1.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.409     0.067     0.115     0.142     0.037     0.037     0.021     0.045     0.044     0.010     0.038     0.033     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     1.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.001     0.000     0.041     0.000     0.009     0.000     0.279     0.000     0.008     0.000     0.657     0.000     0.000     0.000     0.005     3.000     4.000    12.000
     0.000     0.000     0.000     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.514     0.084     0.145     0.179     0.009     0.009     0.005     0.010     0.016     0.004     0.014     0.012     0.000     0.000     0.000     0.000     1.000     1.000     1.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.087     0.000     0.002     0.000     0.174     0.006     0.010     0.000     0.658     0.005     0.055     0.000     0.002     0.000     0.000     0.000     3.000     1.000     9.000
